Student Name  Average Score  Letter Grade
Jane Camacho             79.29    C
Noel Peck                87.29    B
Octavia Lindsey          81.57    B
Castor Melton            75.29    C
Jillian Petersen         78.71    C
Maia Hampton             85.86    B
Daniel Justice           79.43    C
Debra Guerra             75.86    C
Daniel Petty             79.29    C
Guinevere O'donnell      71.71    C
Lee Decker               81.57    B
Carson Zamora            79.29    C
Nina Mcdaniel            85.00    B
Jacqueline Delacruz      81.57    B
Dorian Fowler            75.71    C
Owen Boyle               77.86    C
Bradley Horn             78.00    C
Vanna Peck               78.00    C
Jane Hart                77.71    C
Ifeoma Fuller            76.86    C
Maris Hanson             77.57    C
Jasper Russell           77.29    C
Amanda Tran              76.29    C
Silas Hahn               73.00    C
Patricia Cortez          80.29    B
Raya Munoz               77.71    C
Xanthus Mclaughlin       76.14    C
Anjolie Howell           80.00    B
Igor Cochran             74.29    C
Caesar Hansen            80.00    B
Lucius Howe              77.57    C
Len Dudley               80.57    B
Griffin Bolton           84.43    B
Olga Ayala               70.29    C
Martha Jarvis            78.71    C
Myra Rogers              78.29    C
Chiquita Aguilar         84.57    B
Berk Bowman              76.71    C
Liberty Grant            85.00    B
Carson Cleveland         85.00    B
Petra Monroe             82.86    B
Curran Pruitt            78.57    C
Zane Brennan             77.86    C
Lester Rowland           76.86    C
Linda Burns              86.29    B
Chadwick Talley          77.43    C
Clementine Mcdowell      82.43    B
Kasper Carrillo          79.14    C
Serena Turner            83.43    B
Morgan Flowers           84.00    B
Keelie Mccarthy          82.29    B
Bryar Hayes              79.86    C
Keegan Waller            78.43    C
Ray Whitney              79.29    C
Clio Morrison            79.00    C
Kane Sexton              78.86    C
Lara Durham              85.43    B
Chaim Brooks             74.71    C
Tobias Curry             78.57    C
Aiko Wynn                77.86    C
Kalia Vang               80.43    B
Silas Melendez           72.71    C
Natalie Conrad           79.14    C
Xanthus Osborn           78.71    C
Lila Sexton              81.14    B
Erich Morris             83.29    B
Felix Gordon             79.00    C
Aladdin Schmidt          74.43    C
Tasha Crawford           79.29    C
Graham Boyd              79.86    C
Aurelia Daniels          81.29    B
Berk Sloan               81.00    B
Emerson Rivera           78.14    C
Ursa Wall                79.57    C
Odysseus Murphy          82.71    B
Elijah Carr              75.29    C
Ira Gilliam              84.00    B
Leslie Gates             80.29    B
Illana Moore             75.29    C
Priscilla Grimes         74.29    C
Norman Dean              78.29    C
Jessamine Villarreal     77.00    C
Reagan Dillon            81.71    B
Ifeoma Yang              73.00    C
Elaine Burnett           85.43    B
Geoffrey Warren          79.86    C
Cameron Marks            84.57    B
Dacey Mccullough         75.29    C
Davis Diaz               75.86    C
Ignatius Montgomery      84.14    B
Kelly Holmes             76.86    C
Ryan Hubbard             81.43    B
Kathleen Mccarthy        83.43    B
Abigail Petersen         79.14    C
Dora Hartman             83.71    B
Lars Sellers             76.29    C
Murphy Cantu             78.86    C
Charity Head             76.14    C
Amanda Marks             79.86    C
Yoshio Wagner            81.86    B
Holly Meadows            73.71    C
Mari Hutchinson          75.86    C
Harding Roberson         72.14    C
Echo Robles              84.29    B
Laith Sutton             83.57    B
Mary Mclaughlin          81.86    B
Debra Guy                75.29    C
Stephen Melendez         73.43    C
Paki Fletcher            81.43    B
Alec Mccullough          74.86    C
Luke Willis              75.86    C
Lysandra Campos          76.86    C
Lucius Decker            73.86    C
Declan Nixon             85.86    B
Abel Gentry              83.29    B
Lynn Hopper              83.29    B
Orlando Riggs            77.71    C
Cole Burns               78.71    C
Hamilton Richardson      82.14    B
Richard Savage           77.71    C
Remedios Abbott          77.00    C
Quon Dean                79.29    C
Jorden Wall              75.43    C
Chase Hendrix            82.29    B
Wendy Callahan           80.43    B
Leo Barton               86.29    B
Kellie Dixon             81.00    B
Ann Maddox               83.86    B
Veronica Stevenson       83.14    B
Katell Strickland        79.86    C
Dean Wooten              76.43    C
Harrison Larson          78.29    C
Austin Mack              76.14    C
Garrett Bradshaw         83.00    B
Indira West              80.57    B
Lareina Conner           79.71    C
Hall Greer               81.14    B
Clinton Acosta           83.14    B
Zachary Webster          80.43    B
Ava Lester               75.14    C
Arsenio Lynn             74.71    C
Elmo Green               78.71    C
Karleigh Sykes           81.86    B
Wesley Hickman           77.43    C
Channing Fox             76.86    C
Gwendolyn Byrd           79.71    C
Jin Brooks               77.57    C
Cadman Curtis            78.14    C
Erin Blackburn           84.71    B
Orla Harper              77.29    C
Kadeem Landry            84.00    B
Nash Byrd                84.57    B
Elmo Myers               83.71    B
Rosalyn Battle           76.14    C
Fleur Wall               78.43    C
Elliott Raymond          77.43    C
Amber Tillman            79.71    C
Ina Aguilar              76.14    C
Josephine Glover         75.43    C
Rajah Preston            80.00    B
Orla Mcleod              77.00    C
Merrill Harvey           73.00    C
Chaim Gay                84.14    B
Diana Lara               77.29    C
Ifeoma Hopper            81.57    B
Justine Aguirre          87.00    B
Alden Riddle             83.14    B
Carl Guerrero            79.43    C
Thomas Kemp              74.86    C
Brennan Sims             83.00    B
Adrian Serrano           83.14    B
Donna Hammond            70.00    C
Celeste Richards         76.57    C
Acton Wilcox             78.00    C
Uriel Gibson             84.71    B
Adena Perkins            74.57    C
Kitra Sanders            77.14    C
Cade Orr                 79.14    C
Ignatius Bean            78.71    C
Neil Torres              73.86    C
Wyatt Kim                80.57    B
Hedley Fuentes           75.00    C
Alexander Harris         76.57    C
Jackson Duffy            83.43    B
Abbot Keith              81.14    B
Isabella Livingston      74.43    C
Rajah Stevenson          77.86    C
Kelsie Jarvis            85.00    B
Wesley Skinner           76.57    C
Octavius Torres          81.29    B
Sasha Spence             80.00    B
Jackson Powers           80.71    B
Clare Mcfarland          82.86    B
Paul Mcpherson           72.86    C
Janna Merrill            84.00    B
Jin Andrews              79.00    C
Aimee Oneil              80.14    B
Simon Mckee              78.00    C
Renee Quinn              82.71    B
Brianna Downs            85.71    B
Alice Hansen             78.00    C
Molly Collier            82.00    B
Ria Holder               80.00    B
